ObjectID,NumOID,Type,Sequence,Text
1DAD329C-AE27-C889-C53A-96D5178508BF,5,Domain,1,"Canvas Surrogate Key",
8A2B0DA4-029A-2711-317C-7684ED0E8176,2099,Column,1,"PS_SESSION_TBL",
