Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"ACAD_PLAN",6F735E78-FB55-5432-A970-A1BB88102DB7,186,,8398FFED-EF5B-DBFE-CC48-2ACB427AC7E9,116,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdvisor",,,VARCHAR,26,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN",3B88520D-2305-AE0D-76DB-08706FB506B6,187,,87F2A1A6-AAF6-863C-FEB7-74C611E53A06,118,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentPrimaryAdvisorTerm",,,VARCHAR,30,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN",0534D6AD-5C6C-D6F1-CD75-BB9C85E5B647,188,,98A08F99-3914-A1B4-17B9-703BD148CD78,95,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AcademicProgram_T1",,,VARCHAR,22,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN",0AA031BC-E615-8F19-6E66-3D2483190CED,189,,FDB09D88-BFEF-D664-5C5D-603B3D835D1D,117,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdvisorTerm",,,VARCHAR,30,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN",616483A7-62DB-5361-8CC7-7D0A15A1DF90,190,,62966FA8-81AB-A3E0-88E9-5B45B9BD924E,162,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T2",,,VARCHAR,15,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN",7EE28A5A-2132-B807-51AC-BD61744E4B0A,191,,AD6D062A-60B0-6AD2-5781-69FAB9821FBF,161,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T1",,,VARCHAR,13,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PLAN_TYPE",24B205C7-905F-682A-172D-BD266AE9F000,192,,8007C8C4-EF58-E8AD-55A7-BFAA3E83A1B7,91,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AcademicCareer_T1",,,VARCHAR,17,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG",EDE794D9-11ED-8114-75CC-420F9A2B26BB,193,,309C425A-55B2-16C7-FD28-57461A03FB59,164,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentEnrollment_T1",,,VARCHAR,79,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG",2B527DF9-17DF-95C3-13AC-832630EA8D1B,194,,62966FA8-81AB-A3E0-88E9-5B45B9BD924E,162,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T2",,,VARCHAR,13,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG",589CD23B-3E07-B1EE-7E44-F40CA32B2C94,195,,AD6D062A-60B0-6AD2-5781-69FAB9821FBF,161,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T1",,,VARCHAR,11,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG_DUAL",34E29C66-E786-A9C2-4155-C2ECA0844115,196,,0C7A995E-2D9F-BB49-975D-F3BB7F9CF678,100,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AdmissionProgress_T2",,,VARCHAR,34,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG_DUAL",2B728957-76CA-87A6-81EF-A4420CE07428,197,,78CA9723-A53A-59AC-334E-F658F6DE3728,99,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AdmissionProgress_T1",,,VARCHAR,32,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG_DUAL",6339302B-BE5F-BAE3-D3A1-D37F43C00617,198,,98A08F99-3914-A1B4-17B9-703BD148CD78,95,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AcademicProgram_T1",,,VARCHAR,35,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_PROG_DUAL",7503A4B9-F218-C1CE-7165-295AEFFA7F2C,199,,D5949C57-7464-595A-AE01-D4D98214419B,159,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAcademicProgram_T2",,,VARCHAR,40,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_STDNG_RULE",B24B1F26-892A-B4D4-A812-6F9989C18AFB,200,,98A08F99-3914-A1B4-17B9-703BD148CD78,95,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AcademicProgram_T1",,,VARCHAR,40,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_SUB_PLAN",8A1D56ED-A212-45E0-93A4-A65F336CF7EC,201,,8398FFED-EF5B-DBFE-CC48-2ACB427AC7E9,116,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdvisor",,,VARCHAR,34,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_SUB_PLAN",CC127C59-C990-586A-072E-321042CA98FA,202,,87F2A1A6-AAF6-863C-FEB7-74C611E53A06,118,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentPrimaryAdvisorTerm",,,VARCHAR,38,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_SUB_PLAN",CF1604D7-5D74-1F91-5B7B-3F30A0E9C8DA,203,,FDB09D88-BFEF-D664-5C5D-603B3D835D1D,117,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdvisorTerm",,,VARCHAR,38,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_SUB_PLAN",A5C036AE-DDC7-4426-726B-C61A930A8396,204,,62966FA8-81AB-A3E0-88E9-5B45B9BD924E,162,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T2",,,VARCHAR,23,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_SUB_PLAN",40040A39-6184-F492-1DA5-0FEB642E4200,205,,AD6D062A-60B0-6AD2-5781-69FAB9821FBF,161,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAdvisor_T1",,,VARCHAR,21,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACAD_YEAR",33DE0321-980E-BC7D-0C7F-579F751E30DA,206,,16DF884E-1ADC-6F3C-3A88-A6F3468BBB46,163,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentCareerTerm_T1",,,VARCHAR,105,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"ACADEMIC_LOAD_DT",F8D7A12D-0410-E69D-EDE6-85C5DEC3DCC9,207,,16DF884E-1ADC-6F3C-3A88-A6F3468BBB46,163,N,Logical Type,,N,,,,DOM3000004,18,LOGDT007,35,,,,,,,,,N,,Date,,,,N,Y,"StudentCareerTerm_T1",,,DATE,132,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",3,10,0,
"AcademicCalendar_HK",7DA7163C-0FBF-76A5-3314-3EBCC2D8E09A,208,,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"CalendarTerm_T1",,,CHAR,3,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCalendarID",8214E356-63B7-71CC-B4C7-B0F6296791E2,209,,57318C2E-7790-141F-C6C2-41125639E2D8,123,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimTerm",,,VARCHAR,11,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
